Company,Licence Number,Licence Status,Surface Location,UWI,Field/Area Name,Pool/Deposit Name,"Final Total Depth, m",Last Volumetric Activity Date,"Last Annual Oil Prod, m³","Last Annual Gas Prod, 10³m³","Last Annual Water Prod, m³",,status,,SCVF or GM History,Well Deviation,Cement Top,Casing Failure History,Well Age,Suspended Well Status  Date,H2S,Land Use,Protection of Useable Water Aquifers,Proximity to Nearest Water Well,Well Accessibility,TVD (mKB),Well Operation type,TOTAL SCORE,,SCVF or GM History (4),Well Deviation (3),Cement Top (3),Casing Failure History (3),Well Age (3),Suspended Well Status  Date (3),H2S (4),Land Use (4),Protection of Useable Water Aquifers(3),Proximity to Nearest Water Well (2) ,Well Accessibility (3),TVD (mKB) (2),Well Operation type (3),total score
385417 Alberta Ltd. 0NG5,136609,Issued,14-28-047-03W5,00/14-28-047-03W5/0,PEMBINA,COMMINGLED POOL 003,"1,035.00",2000-10-01,,,,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,1000-1999 mKB,All other wells types,1490,,20,3,15,6,12,3,28,16,15,8,9,8,6,1490
385417 Alberta Ltd. 0NG5,136609,Issued,14-28-047-03W5,00/14-28-047-03W5/2,PEMBINA,BELLY RIVER R5R,"1,035.00",2014-06-01,45.4,3.5,155.8,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1975-1985 no faulty casing history,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1580,,20,3,15,6,12,3,28,16,15,8,9,8,15,1580
385417 Alberta Ltd. 0NG5,154030,Issued,08-28-046-03W5,00/08-28-046-03W5/0,PEMBINA,BASAL BELLY RIVER F2F,"1,125.00",2014-05-01,39.1,9.2,138.4,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1986-1997,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1550,,20,3,15,6,9,3,28,16,15,8,9,8,15,1550
385417 Alberta Ltd. 0NG5,202475,Issued,06-28-046-03W5,00/06-28-046-03W5/0,PEMBINA,BASAL BELLY RIVER F2F,"1,135.00",2014-05-01,75.7,1.9,158.9,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1986-1997,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 500m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1550,,20,3,15,6,9,3,28,16,15,8,9,8,15,1550
385417 Alberta Ltd. 0NG5,204975,Issued,16-21-046-03W5,00/16-21-046-03W5/0,PEMBINA,BASAL BELLY RIVER F2F,"1,115.00",2015-07-01,78,5.7,110,,Suspended,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1986-1997,2008+,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 50m,Access clear 5m setback,1000-1999 mKB,Flowing oil well,1610,,20,3,15,6,9,3,28,16,15,14,9,8,15,1610
1354465 Alberta Ltd. A5G7,143562,Amended,13-05-041-17W4,00/13-05-041-17W4/0,RED WILLOW,LOWER MANNVILLE O,"1,237.00",1994-08-01,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 200m,Access clear 5m setback,1000-1999 mKB,All other wells types,1540,,20,3,15,6,9,9,28,16,15,10,9,8,6,1540
1354465 Alberta Ltd. A5G7,143562,Amended,13-05-041-17W4,00/13-05-041-17W4/2,RED WILLOW,LOWER MANNVILLE O,"1,237.00",1994-02-01,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW ≤ 200m,Access clear 5m setback,1000-1999 mKB,All other wells types,1540,,20,3,15,6,9,9,28,16,15,10,9,8,6,1540
1354465 Alberta Ltd. A5G7,143562,Amended,13-05-041-17W4,00/13-05-041-17W4/3,,,"1,237.00",,,,,,Abandoned,,Not Tested,Vertical with well logs,Below S.C. shoe and 600<CT<1000mKB,No Historical Casing Failure,Spud After 2008,2008+,Unknown,Priority 4: Agriculture,Water Aquifers Protected - surface casing 8 years old,WSW ≤ 200m,Access clear 5m setback,1000-1999 mKB,All other wells types,1360,,20,3,15,6,3,3,28,16,9,10,9,8,6,1360
1354465 Alberta Ltd. A5G7,373610,Issued,10-18-029-15W4,02/10-18-029-15W4/0,COYOTE,EDM UND,312,2008-08-01,0,291.3,23.8,,Gas Closed,,Not Tested,Vertical with well logs,Below S.C. shoe and C.T. <600 mKB,No Historical Casing Failure,Spud After 1997,Sept. 2003 - Dec. 2007,Unknown,Priority 4: Agriculture,Water Aquifers Protected - surface casing 12 years old,500m < WSW ≤ 1 km,Access clear 5m setback,<1000 mKB or if OSA >300 mKB,All other wells types,1360,,20,3,12,6,6,6,28,16,12,6,9,6,6,1360
Accurate Energy Solutions Ltd. A6NC,186635,Amended,04-18-092-10W5,00/04-18-092-10W5/0,,,"1,540.00",,,,,,Abandoned,,Not Tested,Vertical with well logs,C.T. > 1000 mKB,No Historical Casing Failure,Spud 1986-1997,Sept. 1994 - Aug. 2003,Unknown,Priority 4: Agriculture,"Useable Water, Aquifers Protected",WSW > 2km,Access clear 5m setback,1000-1999 mKB,All other wells types,1490,,20,3,18,6,9,9,28,16,15,2,9,8,6,1490
